emotion	emoji	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
normal	`_`	0	0	0	0	0	0	0	0	0	0
reliable	^_^	0	0	0	0	0	0	0	0	0	1
sad	Q_Q	0	0	0	1	0	1	0	1	0	0
hurt	T_T	1	0	0	1	0	1	0	1	0	0
explode	(;-_-)	1	0	0	1	0	1	0	1	1	0
positive	*_*	0	0	0	0	0	0	1	0	0	0
absurd	@_@	0	0	0	0	0	1	0	0	0	0
worried	(-'"'-)	0	0	1	0	0	1	0	0	0	0
abhor	(*-m-)	1	0	1	1	0	1	0	0	0	0
agitated	=.=	1	0	0	0	0	1	0	0	0	0
crying	TAT	0	0	0	0	0	1	0	1	0	0
surprised	o_O	0	0	0	0	0	0	0	0	1	0
excellent	(~o~)	0	0	0	0	1	0	1	0	0	1
abundance	>_<	0	1	0	1	1	0	1	0	1	0
nobel	*\0/*	0	0	0	0	0	0	1	0	0	1
prediction	(p_-)	0	1	0	0	0	0	0	0	0	0
excited	\(~o~)/	0	1	0	0	1	0	1	0	1	1
happy	^o^	0	1	0	0	1	0	1	0	0	1
troubled	("'"A"'")	1	0	0	1	0	1	0	0	0	0
scandal	OTZ	0	0	0	1	0	1	0	0	0	0
fear	m(_ _)m	0	0	0	1	0	0	0	0	0	0
laugh	^v^	0	1	0	0	1	0	1	0	0	0
wink	^_~	0	0	0	0	0	0	0	1	0	0
kiss	^3^	0	1	0	0	1	0	1	0	1	0
shame	-.-	0	0	1	1	0	1	0	1	0	0
tired	=_=	0	0	0	0	0	1	0	0	0	0
cat	(=^.^=)	0	1	0	0	1	0	1	1	1	1
nervous	(^_^;)	0	1	0	1	0	1	0	0	0	0
embarrassed	-_-|||	0	0	0	0	0	1	0	1	0	0
sleepy	-_-zzZ	0	0	0	0	0	1	0	0	0	0
angry	>:(	1	0	1	0	0	1	0	0	0	0
